Gamma,Iteration,Mean V,Difference,Times,Total Time,Total Iter,Changes,States
0.7,11,-1.4132398998176203,0.017024704022497783,0.0032460689544677734,0.004444122314453125,13,0,20
0.7,12,-1.4212431319121024,0.010469182009451239,0.0038051605224609375,0.004444122314453125,13,0,20
0.7,13,-1.4268001048605152,0.006920643600499821,0.0043370723724365234,0.004444122314453125,13,0,20
0.9,1,-0.45708333333333334,6.333333333333333,0.0004048347473144531,0.0281219482421875,39,0,20
0.9,2,-0.8377083333333333,3.649999999999999,0.0006561279296875,0.0281219482421875,39,0,20
0.9,3,-1.1811333333333334,1.620000000000001,0.0009179115295410156,0.0281219482421875,39,0,20
0.9,4,-1.4891808333333336,1.404,0.001127004623413086,0.0281219482421875,39,0,20
0.9,5,-1.7660354583333333,0.8869499999999999,0.0013229846954345703,0.0281219482421875,39,0,20
0.9,6,-2.0141111208333324,0.6727049999999997,0.0015201568603515625,0.0281219482421875,39,0,20
0.9,7,-2.2365806583333327,0.5310764999999993,0.0017151832580566406,0.0281219482421875,39,0,20
0.9,8,-2.435639484708334,0.38206890000000016,0.0019719600677490234,0.0281219482421875,39,0,20
0.9,9,-2.6138325541458336,0.32192640000000017,0.002177000045776367,0.0281219482421875,39,0,20
0.9,10,-2.7730509081370833,0.24450550650000002,0.0023741722106933594,0.0281219482421875,39,0,20
0.9,11,-2.915363082359583,0.21014751779999985,0.0025730133056640625,0.0281219482421875,39,0,20
0.9,12,-3.0423778826467456,0.16615059997499948,0.0028150081634521484,0.0281219482421875,39,0,20
0.9,13,-3.155767126897416,0.14121476824050028,0.003020048141479492,0.0281219482421875,39,0,20
0.9,14,-3.25688287760707,0.12709329141644998,0.0032160282135009766,0.0281219482421875,39,0,20
0.9,15,-3.3470655163055185,0.11438396227480485,0.0034101009368896484,0.0281219482421875,39,0,20
0.9,16,-3.4274369026284033,0.10294556604732419,0.0036039352416992188,0.0281219482421875,39,0,20
0.9,17,-3.499064568183203,0.09265100944259252,0.003799915313720703,0.0281219482421875,39,0,20
0.9,18,-3.562869670906333,0.08338590849833238,0.004025936126708984,0.0281219482421875,39,0,20
0.9,19,-3.6196981712784235,0.07504731764849915,0.004583120346069336,0.0281219482421875,39,0,20
0.9,20,-3.6703006889213863,0.06754258588365047,0.0049860477447509766,0.0281219482421875,39,0,20
0.9,21,-3.7153452169628327,0.060788327295284716,0.0056040287017822266,0.0281219482421875,39,0,20
0.9,22,-3.755440128329947,0.054709494565756245,0.005822896957397461,0.0281219482421875,39,0,20
0.9,23,-3.7911117433535275,0.0492385451091808,0.006483793258666992,0.0281219482421875,39,0,20
0.9,24,-3.8228512539719075,0.044314690598262985,0.007102012634277344,0.0281219482421875,39,0,20
0.9,25,-3.8510729927123437,0.03988322153843615,0.008506059646606445,0.0281219482421875,39,0,20
0.9,26,-3.8761724264892097,0.03589489938459245,0.008777141571044922,0.0281219482421875,39,0,20
0.9,27,-3.8984757860579453,0.032305409446133915,0.01686692237854004,0.0281219482421875,39,0,20
0.9,28,-3.918297298790776,0.02907486850151919,0.020277976989746094,0.0281219482421875,39,0,20
0.9,29,-3.9358894113864347,0.02616738165136745,0.02058100700378418,0.0281219482421875,39,0,20
0.9,30,-3.951509098071165,0.023550643486231593,0.023225069046020508,0.0281219482421875,39,0,20
0.9,31,-3.965362654925576,0.021195579137607723,0.02350616455078125,0.0281219482421875,39,0,20
0.9,32,-3.977653608270485,0.01907602122384766,0.023712873458862305,0.0281219482421875,39,0,20
0.9,33,-3.988544831298589,0.01716841910146183,0.02391219139099121,0.0281219482421875,39,0,20
0.9,34,-3.998198905809977,0.015451577191316623,0.02411508560180664,0.0281219482421875,39,0,20
0.9,35,-4.00674505969995,0.013906419472184517,0.024367094039916992,0.0281219482421875,39,0,20
0.9,36,-4.014312856133403,0.012515777524966687,0.024589061737060547,0.0281219482421875,39,0,20
