Gamma,Iteration,Mean V,Difference,Times,Total Time,Total Iter,Changes,States
0.5,6,0.9239296595255534,0.4374713897705078,0.004724979400634766,0.008246898651123047,11,17,3
0.5,7,0.9359281539916993,0.2187347412109375,0.005472898483276367,0.008246898651123047,11,13,3
0.5,8,0.9421525955200195,0.027315139770507812,0.006144046783447266,0.008246898651123047,11,6,3
0.5,9,0.9425696055094401,0.0136566162109375,0.006877899169921875,0.008246898651123047,11,4,3
0.5,10,0.9428339640299479,3.814697265625e-05,0.007551908493041992,0.008246898651123047,11,2,3
0.5,11,0.9428339640299479,3.814697265625e-05,0.008228063583374023,0.008246898651123047,11,0,3
0.7,1,-2.588924868865697,14.699977460659708,0.0010209083557128906,0.012909650802612305,11,13,3
0.7,2,0.48646840991639584,20.17644307262816,0.002235889434814453,0.012909650802612305,11,19,3
0.7,3,2.305707622672975,14.123490660617993,0.003398895263671875,0.012909650802612305,11,22,3
0.7,4,4.014647815333429,9.886443072628161,0.004548788070678711,0.012909650802612305,11,21,3
0.7,5,5.078155012437386,6.920490660617995,0.005990743637084961,0.012909650802612305,11,29,3
0.7,6,5.928456908303005,4.8443430726281616,0.007092952728271484,0.012909650802612305,11,17,3
0.7,7,6.127963331783876,3.391020660617996,0.008153676986694336,0.012909650802612305,11,13,3
0.7,8,6.278602016718825,1.163105862628163,0.009226799011230469,0.012909650802612305,11,6,3
0.7,9,6.299214225146957,0.8141546136179971,0.010463953018188477,0.012909650802612305,11,4,3
0.7,10,6.31902483695438,2.598696229227926e-05,0.011659860610961914,0.012909650802612305,11,2,3
0.7,11,6.31902483695438,2.598696229227926e-05,0.01287984848022461,0.012909650802612305,11,0,3
0.9,1,-9.134240719462026,18.89999073861287,0.003155231475830078,0.03869223594665527,11,13,3
0.9,2,4.205085036482725,89.5262719120471,0.006762027740478516,0.03869223594665527,11,19,3
0.9,3,13.789368379231938,80.57363551168481,0.010284185409545898,0.03869223594665527,11,22,3
0.9,4,25.884365398365592,72.51627191204707,0.013886213302612305,0.03869223594665527,11,21,3
0.9,5,36.11926952921646,65.26463551168482,0.017438173294067383,0.03869223594665527,11,29,3
0.9,6,47.04028953083535,58.738171912047086,0.021036148071289062,0.03869223594665527,11,17,3
0.9,7,50.58255911895259,52.86434551168482,0.024369239807128906,0.03869223594665527,11,13,3
0.9,8,54.17739252659113,38.538099502047075,0.027862071990966797,0.03869223594665527,11,6,3
0.9,9,54.971705321090404,34.6842803426848,0.0312650203704834,0.03869223594665527,11,4,3
0.9,10,56.0160873400122,9.693850071101906e-06,0.034774065017700195,0.03869223594665527,11,2,3
0.9,11,56.0160873400122,9.693850071101906e-06,0.03867220878601074,0.03869223594665527,11,0,3
0.95,1,-19.100983506325388,19.9499950086496,0.006327152252197266,0.08903932571411133,11,13,3
0.95,2,9.925595456300504,194.38456561476002,0.014066934585571289,0.08903932571411133,11,19,3
0.95,3,31.650770175685214,184.6653373219193,0.021358251571655273,0.08903932571411133,11,22,3
0.95,4,60.868929109337316,175.43206561476,0.02972698211669922,0.08903932571411133,11,21,3
0.95,5,87.33176526044454,166.66046232191928,0.03732728958129883,0.08903932571411133,11,29,3
0.95,6,117.4058872746659,158.32743436476,0.04632210731506348,0.08903932571411133,11,17,3
0.95,7,127.86374932771123,150.41106263441932,0.055071115493774414,0.08903932571411133,11,13,3
0.95,8,139.1957702891411,128.95867560456475,0.06311511993408203,0.08903932571411133,11,6,3
0.95,9,141.95584411573566,122.51074181223376,0.0740821361541748,0.08903932571411133,11,4,3
0.95,10,145.83875380603726,4.841063372396093e-06,0.0825202465057373,0.08903932571411133,11,2,3
0.95,11,145.83875380603726,4.841063372396093e-06,0.08901810646057129,0.08903932571411133,11,0,3
0.99,1,-99.07354370277316,20.789999003694405,0.03001093864440918,0.5704588890075684,11,13,3
0.99,2,55.90180449347843,1034.276329778376,0.08022713661193848,0.5704588890075684,11,19,3
0.99,3,175.53712209910125,1023.9335664800936,0.11893773078918457,0.5704588890075684,11,22,3
0.99,4,344.4361013597009,1013.694229778376,0.1602330207824707,0.5704588890075684,11,21,3
