,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
143,66,0.15731445793062449,50.0,3429.0,50,0.1,300
144,67,0.15928570798132569,50.0,3480.0,50,0.1,300
145,68,0.16112704202532768,50.0,3531.0,50,0.1,300
146,69,0.16294591699261218,50.0,3582.0,50,0.1,300
147,70,0.16476529196370393,50.0,3633.0,50,0.1,300
148,71,0.16659637494012713,50.0,3684.0,50,0.1,300
149,72,0.16839216696098447,50.0,3735.0,50,0.1,300
150,73,0.1702084579737857,50.0,3786.0,50,0.1,300
151,74,0.1720037079649046,50.0,3837.0,50,0.1,300
152,75,0.17381283303257078,50.0,3888.0,50,0.1,300
153,76,0.17561416700482368,50.0,3939.0,50,0.1,300
154,0,0.0010100830113515258,27.0,50.0,50,0.2,300
155,1,0.02589554199948907,31.0,102.0,50,0.2,300
156,2,0.02787362493108958,31.0,153.0,50,0.2,300
157,3,0.029824999975971878,33.0,205.0,50,0.2,300
158,4,0.03176699997857213,33.0,256.0,50,0.2,300
159,5,0.033647999982349575,33.0,307.0,50,0.2,300
160,6,0.03550720796920359,36.0,359.0,50,0.2,300
161,7,0.03736458299681544,36.0,410.0,50,0.2,300
162,8,0.03918983298353851,37.0,462.0,50,0.2,300
163,9,0.04102470795623958,38.0,514.0,50,0.2,300
164,10,0.042863333015702665,39.0,566.0,50,0.2,300
165,11,0.04468858300242573,40.0,618.0,50,0.2,300
166,12,0.04651841695886105,41.0,670.0,50,0.2,300
167,13,0.0483571250224486,43.0,722.0,50,0.2,300
168,14,0.050205708015710115,43.0,773.0,50,0.2,300
169,15,0.0520567080238834,43.0,824.0,50,0.2,300
170,16,0.05387070798315108,44.0,876.0,50,0.2,300
171,17,0.055734916939400136,46.0,928.0,50,0.2,300
172,18,0.057569292024709284,46.0,979.0,50,0.2,300
173,19,0.05939616693649441,46.0,1030.0,50,0.2,300
174,20,0.06123429199215025,47.0,1082.0,50,0.2,300
175,21,0.06305887491907924,47.0,1133.0,50,0.2,300
176,22,0.06488704192452133,48.0,1185.0,50,0.2,300
177,23,0.06670724996365607,49.0,1237.0,50,0.2,300
178,24,0.06854354194365442,49.0,1288.0,50,0.2,300
179,25,0.0703626669710502,49.0,1339.0,50,0.2,300
180,26,0.07219500001519918,49.0,1390.0,50,0.2,300
181,27,0.07403725001495332,49.0,1441.0,50,0.2,300
182,28,0.07588549994397908,49.0,1492.0,50,0.2,300
183,29,0.07768087496515363,49.0,1543.0,50,0.2,300
184,30,0.07948316691908985,49.0,1594.0,50,0.2,300
185,31,0.08129620796535164,49.0,1645.0,50,0.2,300
186,32,0.08310175000224262,50.0,1697.0,50,0.2,300
187,33,0.08491999993566424,50.0,1748.0,50,0.2,300
188,34,0.086748042027466,50.0,1799.0,50,0.2,300
189,35,0.08856116700917482,50.0,1850.0,50,0.2,300
190,36,0.09035641700029373,50.0,1901.0,50,0.2,300
191,37,0.09216258302330971,50.0,1952.0,50,0.2,300
